Year,District,Area,Zone,Population,Water_Demand_MLD,Water_Supply_MLD,Supply_Coverage_Percent,Water_Quality_Index,pH,TDS_ppm,Residual_Chlorine_mgL,Turbidity_NTU,Groundwater_Level_m_bgl,Rainfall_mm,Leakage_Percent,Non_Revenue_Water_Percent,Complaint_Count,Pipeline_Length_km,Treatment_Plant,Water_Source,Water_Quality_Status,Priority_Level
2014,Central Delhi,Karol Bagh,Central,71010,13.96,11.17,80,73.2,7.1,397,0.54,2.4,13.4,468,31.4,37.6,252,24,Dwarka,Yamuna,Poor,High
2015,Central Delhi,Karol Bagh,Central,72271,15.2,12.63,83.1,74.3,7.7,240,0.54,1.8,13.8,477,30.8,34.3,231,24,Dwarka,Groundwater,Poor,High
2016,Central Delhi,Karol Bagh,Central,73274,14.48,12.05,83.2,75.4,7.7,418,0.47,1,14.1,491,30,37,220,24,Okhla,Yamuna,Poor,High
2017,Central Delhi,Karol Bagh,Central,74213,15.26,12.75,83.6,76.7,7.5,442,0.65,0.6,14.6,781,29.3,34.7,208,24,Wazirabad,Groundwater,Poor,High
2018,Central Delhi,Karol Bagh,Central,75161,16.2,13.92,86,77.6,8,215,0.77,1.3,15,751,28.5,34.9,202,24,Wazirabad,Groundwater,Poor,Medium
2019,Central Delhi,Karol Bagh,Central,76590,16.73,14.72,88,78.4,7.4,416,0.57,1.4,15.4,886,27.8,31.9,173,24,Haiderpur,Yamuna,Poor,Medium
2020,Central Delhi,Karol Bagh,Central,78074,16.25,14.44,88.9,79.1,8,400,0.37,1.2,15.7,938,26.9,31.7,168,24,Bhagirathi,Yamuna,Poor,Medium
2021,Central Delhi,Karol Bagh,Central,79128,15.77,13.77,87.3,79.7,7.2,182,0.52,1.6,16,668,25.9,30.5,178,24,Chandrawal,Groundwater,Poor,Medium
2022,Central Delhi,Karol Bagh,Central,80757,18.39,16.59,90.2,80.7,7.5,380,0.44,1.4,16.5,485,24.8,29.8,164,24,Chandrawal,Yamuna,Moderate,Medium
2023,Central Delhi,Karol Bagh,Central,82521,17.18,15.33,89.2,81.4,7,494,0.72,1.7,16.8,483,23.9,27.6,161,24,Haiderpur,Ganga Canal,Moderate,Medium
2024,Central Delhi,Karol Bagh,Central,84008,17.54,15.87,90.5,82.9,7.1,253,0.41,0.9,17.2,929,23,30.2,141,24,Chandrawal,Groundwater,Moderate,Medium
2025,Central Delhi,Karol Bagh,Central,85035,19.16,17.88,93.3,84.1,8,509,0.62,0.9,17.6,580,21.9,26.7,126,24,Chandrawal,Ganga Canal,Moderate,Low
2014,Central Delhi,Paharganj,Central,72384,16.39,13.28,81,81.1,7.6,282,0.41,0.4,14.7,629,26.2,29.4,215,32,Haiderpur,Ganga Canal,Moderate,High
2015,Central Delhi,Paharganj,Central,73440,16.3,13.53,83,82.4,7.3,221,0.34,0.7,15,887,25.2,29.2,203,32,Dwarka,Groundwater,Moderate,High
2016,Central Delhi,Paharganj,Central,74938,15.93,13.22,83,83.8,8.1,424,0.46,1.7,15.3,516,24.6,28.1,196,32,Okhla,Ganga Canal,Moderate,High
2017,Central Delhi,Paharganj,Central,76184,16.94,13.88,81.9,84.5,7.2,515,0.7,2.5,15.5,592,24,30.3,208,32,Haiderpur,Yamuna,Moderate,High
2018,Central Delhi,Paharganj,Central,77516,15.35,12.72,82.9,85.6,7,288,0.33,1.4,15.9,535,22.9,29.7,190,32,Haiderpur,Ganga Canal,Moderate,High
2019,Central Delhi,Paharganj,Central,78868,17.7,14.91,84.2,87,8,395,0.73,0.6,16.3,792,21.9,25.7,188,32,Dwarka,Yamuna,Moderate,High
2020,Central Delhi,Paharganj,Central,80502,17.82,15.62,87.6,87.8,7.4,211,0.51,1.5,16.7,583,21.1,28,165,32,Wazirabad,Groundwater,Moderate,Medium
